Protein Name,ChEMBL ID
Scavenger receptor class B member 1,CHEMBL1914272
Inward rectifier potassium channel 2,CHEMBL1914276
G protein-activated inward rectifier potassium channel 1,CHEMBL1914277
G protein-activated inward rectifier potassium channel 4,CHEMBL1914278
Proton-coupled amino acid transporter 1,CHEMBL1914279
Appetite-regulating hormone,CHEMBL1921664
Protoporphyrinogen oxidase,CHEMBL1926488
Tau-tubulin kinase 1,CHEMBL1926492
Synphilin-1,CHEMBL1926494
Bone morphogenetic protein 2,CHEMBL1926496
NADPH oxidase 5,CHEMBL1926497
Acyl-protein thioesterase 2,CHEMBL1932891
40S ribosomal protein S27,CHEMBL1932893
Natural resistance-associated macrophage protein 2,CHEMBL1932895
Ezrin,CHEMBL1932896
Histone acetyltransferase KAT8,CHEMBL1932912
Lysine-specific histone demethylase 1B,CHEMBL1938208
Lysine-specific demethylase 3A,CHEMBL1938209
Lysine-specific demethylase 2A,CHEMBL1938210
Lysine-specific demethylase 6B,CHEMBL1938211
Histone lysine demethylase PHF8,CHEMBL1938212
Matrix metalloproteinase-19,CHEMBL1938214
Kinase suppressor of Ras 1,CHEMBL1938215
Connector enhancer of kinase suppressor of ras 2,CHEMBL1938216
Mixed lineage kinase domain-like protein,CHEMBL1938217
Inositol-tetrakisphosphate 1-kinase,CHEMBL1938220
1-phosphatidylinositol 3-phosphate 5-kinase,CHEMBL1938222
TP53-regulating kinase,CHEMBL1938223
Protein phosphatase 1D,CHEMBL1938224
Matrix metalloproteinase-20,CHEMBL1938226
Proteasome subunit beta type-9,CHEMBL1944495
Proteasome subunit beta type-6,CHEMBL1944496
Long-wave-sensitive opsin 1,CHEMBL1949482
Scavenger mRNA-decapping enzyme DcpS,CHEMBL1949488
Midkine,CHEMBL1949490
Heterogeneous nuclear ribonucleoprotein A1,CHEMBL1955709
Solute carrier family 22 member 7,CHEMBL1955711
CASP8 and FADD-like apoptosis regulator,CHEMBL1955713
Nuclear receptor subfamily 1 group D member 1,CHEMBL1961783
Nuclear receptor subfamily 1 group D member 2,CHEMBL1961784
Receptor-type tyrosine-protein phosphatase U,CHEMBL1961785
Hepatocyte nuclear factor 4-gamma,CHEMBL1961786
Nuclear receptor subfamily 2 group C member 1,CHEMBL1961787
Nuclear receptor subfamily 2 group E member 1,CHEMBL1961788
COUP transcription factor 1,CHEMBL1961789
COUP transcription factor 2,CHEMBL1961790
Nuclear receptor subfamily 2 group F member 6,CHEMBL1961791
Nuclear receptor subfamily 4 group A member 3,CHEMBL1961792
Nuclear receptor subfamily 6 group A member 1,CHEMBL1961793
Isocitrate dehydrogenase [NADP] cytoplasmic,CHEMBL2007625
DNA dC->dU-editing enzyme APOBEC-3F,CHEMBL2007626
Tyrosine-protein phosphatase non-receptor type 5,CHEMBL2007628
26S proteasome non-ATPase regulatory subunit 14,CHEMBL2007629
"ATP-binding cassette sub-family B member 6, mitochondrial",CHEMBL2007630
Thioredoxin,CHEMBL2010624
EWS-Fli1 protein,CHEMBL2010625
ETS translocation variant 1,CHEMBL2010626
Pirin,CHEMBL2010627
DNA polymerase nu,CHEMBL2010628
C-X-C chemokine receptor type 7,CHEMBL2010631
ATP-dependent RNA helicase DDX1,CHEMBL2010634
Ubiquitin-like modifier-activating enzyme 5,CHEMBL2016429
NEDD8-activating enzyme E1 catalytic subunit,CHEMBL2016430
NEDD8-activating enzyme E1 regulatory subunit,CHEMBL2016431
von Willebrand factor,CHEMBL2021748
Sphingolipid delta(4)-desaturase DES1,CHEMBL2021749
Kinesin-like protein KIF7,CHEMBL2021751
Kinesin-like protein KIF20B,CHEMBL2021752
Kinesin-like protein KIF20A,CHEMBL2021753
Neutral ceramidase,CHEMBL2021754
IGF-like family receptor 1,CHEMBL2029192
Kinesin heavy chain isoform 5C,CHEMBL2029194
Rap guanine nucleotide exchange factor 3,CHEMBL2029197
Rap guanine nucleotide exchange factor 4,CHEMBL2029198
Regulator of G-protein signaling 8,CHEMBL2034803
Taste receptor type 2 member 31,CHEMBL2034804
DNA repair protein RAD51 homolog 1,CHEMBL2034807
C-type lectin domain family 7 member A,CHEMBL2034810
Lupus La protein,CHEMBL2040701
Probable ATP-dependent RNA helicase DHX36,CHEMBL2040704
Chondroitin sulfate N-acetylgalactosaminyltransferase 1,CHEMBL2040705
Multidrug resistance-associated protein 5,CHEMBL2046258
"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",CHEMBL2046259
Kynurenine--oxoglutarate transaminase 3,CHEMBL2046260
Anoctamin-1,CHEMBL2046267
Eukaryotic initiation factor 4A-I,CHEMBL2052028
Peptidyl-prolyl cis-trans isomerase FKBP5,CHEMBL2052031
"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",CHEMBL2052032
Protein-tyrosine phosphatase mitochondrial 1,CHEMBL2052033
"Solute carrier family 2, facilitated glucose transporter member 9",CHEMBL2052034
Long-chain fatty acid transport protein 1,CHEMBL2052038
Natural resistance-associated macrophage protein 1,CHEMBL2052040
Heat shock-related 70 kDa protein 2,CHEMBL2062348
RuvB-like 2,CHEMBL2062349
"ATP synthase subunit beta, mitochondrial",CHEMBL2062350
"ATP synthase subunit alpha, mitochondrial",CHEMBL2062351
Eukaryotic translation initiation factor 3 subunit F,CHEMBL2062352
"Actin, cytoplasmic 1",CHEMBL2062353
Biotin--protein ligase,CHEMBL2062354
ADM,CHEMBL2062356
Max-like protein X,CHEMBL2062357
Kelch-like ECH-associated protein 1,CHEMBL2069156
Extracellular superoxide dismutase [Cu-Zn],CHEMBL2069159
Probable G-protein coupled receptor 142,CHEMBL2069161
Dual specificity testis-specific protein kinase 2,CHEMBL2069163
Lysine-specific demethylase 6A,CHEMBL2069164
Multidrug resistance-associated protein 6,CHEMBL2073661
Monocarboxylate transporter 4,CHEMBL2073663
Solute carrier family 22 member 4,CHEMBL2073668
Multidrug resistance associated protein,CHEMBL2073669
Solute carrier family 22 member 3,CHEMBL2073673
Solute carrier family 22 member 11,CHEMBL2073677
Solute carrier organic anion transporter family member 4A1,CHEMBL2073679
Solute carrier organic anion transporter family member 3A1,CHEMBL2073685
Multidrug resistance-associated protein 7,CHEMBL2073687
Solute carrier organic anion transporter family member 4C1,CHEMBL2073690
Solute carrier family 22 member 5,CHEMBL2073693
Solute carrier organic anion transporter family member 1C1,CHEMBL2073697
ATP-binding cassette sub-family C member 11,CHEMBL2073702
Solute carrier organic anion transporter family member 2A1,CHEMBL2073703
Monocarboxylate transporter 2,CHEMBL2073704
SLC16A10 protein,CHEMBL2073719
Solute carrier family 22 member 9,CHEMBL2073721
Solute carrier family 22 member 16,CHEMBL2073722
Organic solute transporter subunit alpha,CHEMBL2073724
GTPase NRas,CHEMBL2079845
Son of sevenless homolog 1,CHEMBL2079846
Serine protease hepsin,CHEMBL2079849
Protein prune homolog,CHEMBL2079850
Protein-glutamine gamma-glutamyltransferase 6,CHEMBL2079852
Small ubiquitin-related modifier 1,CHEMBL2146296
DNA repair and recombination protein RAD54-like,CHEMBL2146297
Glycosyltransferase-like protein LARGE1,CHEMBL2146300
Small ubiquitin-related modifier 2,CHEMBL2146301
"Glutaminase kidney isoform, mitochondrial",CHEMBL2146302
Glycoprotein hormones alpha chain,CHEMBL2146305
Rac GTPase-activating protein 1,CHEMBL2146306
Protein disulfide-isomerase A6,CHEMBL2146308
"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",CHEMBL2146311
Werner syndrome ATP-dependent helicase,CHEMBL2146312
PTPsigma-(Brain),CHEMBL2146342
Dual specificity protein phosphatase 4,CHEMBL2146343
Neurogenic locus notch homolog protein 1,CHEMBL2146346
Inward rectifier potassium channel 4,CHEMBL2146347
ATP-sensitive inward rectifier potassium channel 10,CHEMBL2146348
Inward rectifier potassium channel 13,CHEMBL2146349
Protein CIP2A,CHEMBL2146355
SRC kinase signaling inhibitor 1,CHEMBL2150836
ATPase family AAA domain-containing protein 2,CHEMBL2150837
Succinate receptor 1,CHEMBL2150838
2-oxoglutarate receptor 1,CHEMBL2150840
Methionine synthase,CHEMBL2150844
Ubiquitin carboxyl-terminal hydrolase 7,CHEMBL2157850
Ubiquitin carboxyl-terminal hydrolase 47,CHEMBL2157851
Ubiquitin carboxyl-terminal hydrolase 21,CHEMBL2157852
Ubiquitin carboxyl-terminal hydrolase 28,CHEMBL2157853
Ubiquitin carboxyl-terminal hydrolase 8,CHEMBL2157854
Fanconi anemia group F protein,CHEMBL2157856
Fanconi anemia group D2 protein,CHEMBL2157857
Dual specificity protein phosphatase 2,CHEMBL2157858
43 kDa receptor-associated protein of the synapse,CHEMBL2163166
S-methylmethionine--homocysteine S-methyltransferase BHMT2,CHEMBL2163167
Gamma-butyrobetaine dioxygenase,CHEMBL2163175
Lysine-specific demethylase 5C,CHEMBL2163176
Lysine-specific demethylase 7,CHEMBL2163177
Antithrombin,CHEMBL2163180
NAD-dependent protein deacetylase sirtuin-6,CHEMBL2163182
"NAD-dependent protein deacylase sirtuin-5, mitochondrial",CHEMBL2163183
NAD-dependent protein deacetylase sirtuin-7,CHEMBL2163184
NAD-dependent protein deacetylase sirtuin-4,CHEMBL2163185
Glutathione peroxidase 1,CHEMBL2163186
N-lysine methyltransferase SMYD2,CHEMBL2169716
Pancreatic lipase-related protein 2,CHEMBL2169728
NQO1 protein,CHEMBL2169730
NADPH--cytochrome P450 reductase,CHEMBL2169731
Hydroxyacid oxidase 2,CHEMBL2169732
7-dehydrocholesterol reductase,CHEMBL2169735
Tyrosyl-DNA phosphodiesterase 2,CHEMBL2169736
Spermine oxidase,CHEMBL2176769
Complement factor D,CHEMBL2176771
E3 ubiquitin-protein ligase TRIM33,CHEMBL2176772
PH-interacting protein,CHEMBL2176773
Bromodomain-containing protein 1,CHEMBL2176774
ATPase family AAA domain-containing protein 2B,CHEMBL2176775
Sentrin-specific protease 2,CHEMBL2176776
Poly [ADP-ribose] polymerase 14,CHEMBL2176777
Poly [ADP-ribose] polymerase 15,CHEMBL2176778
Toll-like receptor 5,CHEMBL2176839
Advanced glycosylation end product-specific receptor,CHEMBL2176846
C-type lectin domain family 4 member K,CHEMBL2176853
Macrophage mannose receptor 1,CHEMBL2176854
C-type lectin domain family 4 member C,CHEMBL2176855
C-type lectin domain family 6 member A,CHEMBL2176856
Pulmonary surfactant-associated protein D,CHEMBL2176857
C-type lectin domain family 4 member M,CHEMBL2176858
Histone-lysine N-methyltransferase EZH2,CHEMBL2189110
Histone-lysine N-methyltransferase SETMAR,CHEMBL2189111
Histone-lysine N-methyltransferase MLL4,CHEMBL2189112
Histone-lysine N-methyltransferase MLL3,CHEMBL2189113
Histone-lysine N-methyltransferase MLL2,CHEMBL2189114
Histone-lysine N-methyltransferase EZH1,CHEMBL2189116
Polycomb protein EED,CHEMBL2189117
Polycomb protein SUZ12,CHEMBL2189118
Histone-binding protein RBBP4,CHEMBL2189120
GTPase KRas,CHEMBL2189121
DnaJ homolog subfamily A member 1,CHEMBL2189122
Arylsulfatase G,CHEMBL2189124
Testis-expressed sequence 30 protein,CHEMBL2189125
Calcium-independent phospholipase A2-gamma,CHEMBL2189126
Monoacylglycerol lipase ABHD6,CHEMBL2189127
Prolyl endopeptidase-like,CHEMBL2189128
Neuropathy target esterase,CHEMBL2189129
S-formylglutathione hydrolase,CHEMBL2189130
Retinoid-inducible serine carboxypeptidase,CHEMBL2189131
Abhydrolase domain-containing protein FAM108B1,CHEMBL2189132
Lysophospholipase-like protein 1,CHEMBL2189133
Alpha/beta hydrolase domain-containing protein 11,CHEMBL2189134
"Acyl-coenzyme A thioesterase 2, mitochondrial",CHEMBL2189135
Acyl-coenzyme A thioesterase 1,CHEMBL2189136
Lysosomal thioesterase PPT2,CHEMBL2189137
"Aspartate aminotransferase, cytoplasmic",CHEMBL2189139
Phosphoinositide 3-kinase regulatory subunit 4,CHEMBL2189144
Myosin-9,CHEMBL2189151
"Thioredoxin, mitochondrial",CHEMBL2189153
Cytochrome c,CHEMBL2189163
Kv channel-interacting protein 2,CHEMBL2189164
"Carnitine O-palmitoyltransferase 1, muscle isoform",CHEMBL2216739
Mitochondrial carnitine/acylcarnitine carrier protein,CHEMBL2216740
Hypoxia up-regulated protein 1,CHEMBL2216741
Heterogeneous nuclear ribonucleoproteins C1/C2,CHEMBL2216742
Leucine-rich repeat-containing protein 59,CHEMBL2216743
Vacuolar protein sorting-associated protein 35,CHEMBL2216744
Dual specificity protein phosphatase 26,CHEMBL2295562
Cell division control protein 6 homolog,CHEMBL2311228
Vacuolar protein sorting-associated protein 4B,CHEMBL2311229
Spermatogenesis-associated protein 5,CHEMBL2311230
Vesicle-fusing ATPase,CHEMBL2311231
Endoribonuclease Dicer,CHEMBL2311232
High mobility group protein B1,CHEMBL2311236
Emopamil-binding protein-like,CHEMBL2311238
Laforin,CHEMBL2311242
D-3-phosphoglycerate dehydrogenase,CHEMBL2311243
Cadherin-1,CHEMBL2321609
Potassium channel subfamily K member 3,CHEMBL2321613
Potassium channel subfamily K member 9,CHEMBL2321614
Potassium channel subfamily K member 2,CHEMBL2321615
Protein Red,CHEMBL2321616
Potassium voltage-gated channel subfamily B member 2,CHEMBL2321618
Ubiquitin-like modifier-activating enzyme ATG7,CHEMBL2321621
Ubiquitin-like modifier-activating enzyme 6,CHEMBL2321622
Ubiquitin-like modifier-activating enzyme 7,CHEMBL2321623
Duffy antigen/chemokine receptor,CHEMBL2321626
C-C chemokine receptor-like 2,CHEMBL2321627
C-C chemokine receptor type 10,CHEMBL2321628
"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",CHEMBL2321629
"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",CHEMBL2321630
"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",CHEMBL2321631
"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",CHEMBL2321632
Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1,CHEMBL2321633
"Beta-1,3-galactosyltransferase 1",CHEMBL2321634
"Beta-1,3-galactosyltransferase 5",CHEMBL2321635
SH2 domain-containing protein 1A,CHEMBL2321636
Kinesin-like protein KIF9,CHEMBL2321637
Histo-blood group ABO system transferase,CHEMBL2321639
"Frataxin, mitochondrial",CHEMBL2321640
Histone-lysine N-methyltransferase SMYD3,CHEMBL2321643
Histone-lysine N-methyltransferase SUV420H2,CHEMBL2321644
Histone-lysine N-methyltransferase SUV420H1,CHEMBL2321645
Histone-lysine N-methyltransferase SETDB1,CHEMBL2321646
Potassium channel subfamily K member 10,CHEMBL2331041
Potassium channel subfamily K member 18,CHEMBL2331042
Myelin transcription factor 1,CHEMBL2331044
Transmembrane protease serine 4,CHEMBL2331048
Disintegrin and metalloproteinase domain-containing protein 15,CHEMBL2331050
Palmitoyl-protein thioesterase 1,CHEMBL2331051
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",CHEMBL2331053
26S proteasome non-ATPase regulatory subunit 10,CHEMBL2331054
PERQ amino acid-rich with GYF domain-containing protein 2,CHEMBL2331055
Lysophosphatidic acid receptor 6,CHEMBL2331058
Delta(24)-sterol reductase,CHEMBL2331059
"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",CHEMBL2331064
Alpha-ketoglutarate-dependent dioxygenase FTO,CHEMBL2331065
Alkaline ceramidase 2,CHEMBL2331067
Transcription factor MafK,CHEMBL2346484
Nicotinamide N-methyltransferase,CHEMBL2346486
Proliferating cell nuclear antigen,CHEMBL2346488
Kit ligand,CHEMBL2346489
Cyclin-K,CHEMBL2346490
A disintegrin and metalloproteinase with thrombospondin motifs 13,CHEMBL2346492
Frizzled-1,CHEMBL2346493
Protein S100-A4,CHEMBL2362976
DNA repair protein RAD52 homolog,CHEMBL2362978
Probable global transcription activator SNF2L2,CHEMBL2362979
Paired box protein Pax-8,CHEMBL2362980
TAR DNA-binding protein 43,CHEMBL2362981
Fibroblast growth factor 22,CHEMBL2362983
ATP-binding cassette sub-family A member 1,CHEMBL2362986
"DNA topoisomerase I, mitochondrial",CHEMBL2362989
"Carbamoyl-phosphate synthase [ammonia], mitochondrial",CHEMBL2362990
Amidophosphoribosyltransferase,CHEMBL2362992
Potassium voltage-gated channel subfamily B member 1,CHEMBL2363000
Potassium voltage-gated channel subfamily A member 10,CHEMBL2363001
Potassium voltage-gated channel subfamily C member 2,CHEMBL2363009
Potassium voltage-gated channel subfamily H member 6,CHEMBL2363011
Potassium voltage-gated channel subfamily H member 3,CHEMBL2363017
Interleukin-6 receptor alpha subunit,CHEMBL2364155
T-lymphocyte activation antigen CD86,CHEMBL2364156
T-lymphocyte activation antigen CD80,CHEMBL2364157
Tumor necrosis factor ligand superfamily member 13B,CHEMBL2364158
Synaptosomal nerve-associated protein 25 (SNAP-25),CHEMBL2364159
Vesicle-associated membrane protein 2,CHEMBL2364160
Tumor necrosis factor receptor superfamily member 8,CHEMBL2364161
Tumor necrosis factor ligand superfamily member 11,CHEMBL2364162
Complement C5,CHEMBL2364163
Cytotoxic T-lymphocyte protein 4,CHEMBL2364164
Tyrosine-protein kinase transmembrane receptor ROR2,CHEMBL2375201
Lymphocyte antigen 96,CHEMBL2375202
Acyl-CoA wax alcohol acyltransferase 2,CHEMBL2375204
Acyl-CoA wax alcohol acyltransferase 1,CHEMBL2375205
"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",CHEMBL2375206
"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",CHEMBL2375207
Poly [ADP-ribose] polymerase 6,CHEMBL2380187
TCDD-inducible poly [ADP-ribose] polymerase,CHEMBL2380188
Poly [ADP-ribose] polymerase 11,CHEMBL2380189
Calcium release-activated calcium channel protein 1,CHEMBL2384891
Monocyte differentiation antigen CD14,CHEMBL2384897
N-arachidonyl glycine receptor,CHEMBL2384898
Microtubule-associated protein 2,CHEMBL2390810
Urea transporter 1,CHEMBL2390814
Dual specificity protein phosphatase 23,CHEMBL2396506
Dual specificity protein phosphatase 15,CHEMBL2396507
Receptor-type tyrosine-protein phosphatase S,CHEMBL2396508
Tyrosine-protein phosphatase non-receptor type 3,CHEMBL2396509
Dual specificity protein phosphatase 10,CHEMBL2396511
Mothers against decapentaplegic homolog 2,CHEMBL2396512
N-acylneuraminate-9-phosphatase,CHEMBL2401602
H(+)/Cl(-) exchange transporter 3,CHEMBL2401603
Transcription factor ETV6,CHEMBL2401606
Myoglobin,CHEMBL2406892
G protein-activated inward rectifier potassium channel 2,CHEMBL2406895
Cytochrome P450 2W1,CHEMBL2406897
Probable ubiquitin carboxyl-terminal hydrolase FAF-X,CHEMBL2406899
Ubiquitin carboxyl-terminal hydrolase 4,CHEMBL2406900
Short transient receptor potential channel 6,CHEMBL2417347
Short transient receptor potential channel 3,CHEMBL2417348
Microtubule-associated serine/threonine-protein kinase 4,CHEMBL2417351
Microtubule-associated serine/threonine-protein kinase 3,CHEMBL2417352
Serine/threonine-protein kinase Nek8,CHEMBL2417353
"Acylglycerol kinase, mitochondrial",CHEMBL2417354
Microtubule-associated serine/threonine-protein kinase 2,CHEMBL2417355
Lysine-specific demethylase 5A,CHEMBL2424504
Peptidyl-prolyl cis-trans isomerase C,CHEMBL2424505
PHD finger protein 23,CHEMBL2424508
Tumor suppressor p53-binding protein 1,CHEMBL2424509
E3 ubiquitin-protein ligase UHRF1,CHEMBL2424510
Poly [ADP-ribose] polymerase 10,CHEMBL2429708
Poly [ADP-ribose] polymerase 12,CHEMBL2429709
2-acylglycerol O-acyltransferase 2,CHEMBL2439944
Probable G-protein coupled receptor 151,CHEMBL3085617
Probable G-protein coupled receptor 132,CHEMBL3085618
Transcription activator BRG1,CHEMBL3085620
Nucleosome-remodeling factor subunit BPTF,CHEMBL3085621
Bromodomain-containing protein 7,CHEMBL3085622
Poly [ADP-ribose] polymerase 8,CHEMBL3091262
G-protein coupled receptor 39,CHEMBL3091266
Nuclear receptor ROR-beta,CHEMBL3091268
Platelet-derived growth factor subunit B,CHEMBL3108633
Clathrin heavy chain 1,CHEMBL3108634
Transcription intermediary factor 1-alpha,CHEMBL3108638
Cat eye syndrome critical region protein 2,CHEMBL3108639
Bromodomain-containing protein 9,CHEMBL3108640
Transcription initiation factor TFIID subunit 1-like,CHEMBL3108641
Bromodomain adjacent to zinc finger domain protein 2A,CHEMBL3108642
Nuclear body protein SP140,CHEMBL3108643
Bromodomain and PHD finger-containing protein 3,CHEMBL3108644
Histone-lysine N-methyltransferase NSD2,CHEMBL3108645
Histone-lysine N-methyltransferase NSD3,CHEMBL3108646
Histone-lysine N-methyltransferase SETD2,CHEMBL3108647
Protein arginine N-methyltransferase 8,CHEMBL3108648
Methylosome protein 50,CHEMBL3108649
Serine/threonine-protein kinase Nek10,CHEMBL3108655
GTP-binding protein Rheb,CHEMBL3108656
"3-hydroxyanthranilate 3,4-dioxygenase",CHEMBL3108657
Von Hippel-Lindau disease tumor suppressor,CHEMBL3108660
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3112376
Phosphatidylcholine:ceramide cholinephosphotransferase 2,CHEMBL3112379
Retinal dehydrogenase 2,CHEMBL3112384
Choline/ethanolamine kinase,CHEMBL3112385
Growth/differentiation factor 15,CHEMBL3120039
Regulatory-associated protein of mTOR,CHEMBL3120040
"DNA-directed RNA polymerase, mitochondrial",CHEMBL3120041
Protein HEXIM1,CHEMBL3120044
"Presequence protease, mitochondrial",CHEMBL3124731
Interleukin-6 receptor subunit beta,CHEMBL3124734
Heterogeneous nuclear ribonucleoproteins A2/B1,CHEMBL3124741
Peregrin,CHEMBL3132741
Platelet-derived growth factor subunit A,CHEMBL3137294
L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,CHEMBL3137295
Putative N-acetylglucosamine-6-phosphate deacetylase,CHEMBL3217376
Microtubule-associated protein 1B,CHEMBL3217382
Transcription initiation factor TFIID subunit 1,CHEMBL3217390
C-C motif chemokine 7,CHEMBL3217391
Lymphoid enhancer-binding factor 1,CHEMBL3217392
Transforming growth factor beta-2,CHEMBL3217393
Insulin-like growth factor I,CHEMBL3217394
Angiopoietin-1,CHEMBL3217395
Protein jagged-1,CHEMBL3217396
Glucose-6-phosphate translocase,CHEMBL3217398
SH2 domain-containing protein 2A,CHEMBL3217401
Rhombotin-2,CHEMBL3217402
Ubiquitin carboxyl-terminal hydrolase 20,CHEMBL3232682
Chromobox protein homolog 8,CHEMBL3232684
E3 SUMO-protein ligase CBX4,CHEMBL3232685
Heat shock 70 kDa protein 6,CHEMBL3232688
CD44 antigen,CHEMBL3232692
T-lymphoma invasion and metastasis-inducing protein 1,CHEMBL3232697
Epsin-1,CHEMBL3259465
Cytohesin-3,CHEMBL3259466
RuvB-like 1,CHEMBL3259467
G-protein coupled receptor 183,CHEMBL3259470
Proto-oncogene vav,CHEMBL3259472
Toll-like receptor 6,CHEMBL3259477
Pyridoxine-5'-phosphate oxidase,CHEMBL3271932
Sphingosine-1-phosphate lyase 1,CHEMBL3286061
DNA-directed RNA polymerase I subunit RPA1,CHEMBL3286067
Proheparin-binding EGF-like growth factor,CHEMBL3286070
Fibroblast growth factor 7,CHEMBL3286071
Fibroblast growth factor 4,CHEMBL3286072
Interferon gamma,CHEMBL3286073
Stromal cell-derived factor 1,CHEMBL3286074
Platelet factor 4,CHEMBL3286075
C-X-C motif chemokine 2,CHEMBL3286076
Eotaxin,CHEMBL3286077
Bone morphogenetic protein 6,CHEMBL3286078
Guanine nucleotide-binding protein G(q) subunit alpha,CHEMBL3286079
Probable G-protein coupled receptor 52,CHEMBL3297639
Programmed cell death protein 1,CHEMBL3307223
"Complement component 3a receptor 1, isoform CRA_a",CHEMBL3308978
CDC42BPA protein,CHEMBL3308982
Kinesin-like protein KIF6,CHEMBL3308907
DNA replication licensing factor MCM2,CHEMBL3308910
Early activation antigen CD69,CHEMBL3308911
Platelet glycoprotein VI (GPVI),CHEMBL3308912
Guanine nucleotide-binding protein subunit alpha-12,CHEMBL3308913
Kinesin-like protein KIF1A,CHEMBL3308914
Alpha-tocopherol transfer protein,CHEMBL3308919
Monocarboxylate transporter 3 (MCT 3),CHEMBL3308921
Proteasome subunit beta type-3,CHEMBL3308923
Valacyclovir hydrolase,CHEMBL3308924
CDC42 small effector protein 1,CHEMBL3308925
Eukaryotic translation initiation factor 4B,CHEMBL3308928
Double-strand break repair protein MRE11A,CHEMBL3308929
Probable G-protein coupled receptor 135,CHEMBL3309102
Taste receptor type 2 member 14,CHEMBL3309105
Taste receptor type 2 member 16,CHEMBL3309106
Taste receptor type 2 member 4,CHEMBL3309107
Taste receptor type 2 member 41,CHEMBL3309108
Taste receptor type 2 member 60,CHEMBL3309109
Taste receptor type 2 member 9,CHEMBL3309110
Activator of 90 kDa heat shock protein ATPase homolog 1,CHEMBL3309113
Cell cycle checkpoint protein RAD1,CHEMBL3309116
Lysine-specific demethylase 4B,CHEMBL3313832
Ectonucleoside triphosphate diphosphohydrolase 4,CHEMBL3313834
S-adenosylmethionine synthase isoform type-2,CHEMBL3313835
RNA polymerase II subunit A C-terminal domain phosphatase SSU72,CHEMBL3317331
Tyrosine-protein phosphatase non-receptor type 14,CHEMBL3317332
Ubiquitin-like domain-containing CTD phosphatase 1,CHEMBL3317333
Proteasome subunit beta type-10,CHEMBL3317334
Sodium-dependent proline transporter,CHEMBL3317335
Voltage-dependent L-type calcium channel subunit beta-2,CHEMBL3317336
P2Y purinoceptor 13,CHEMBL3321651
"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3",CHEMBL3325305
"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",CHEMBL3325306
SPRY domain-containing SOCS box protein 2,CHEMBL3325308
14-3-3 protein epsilon,CHEMBL3329082
Transcriptional coactivator YAP1,CHEMBL3334415
Transcriptional enhancer factor TEF-1,CHEMBL3334416
Phosphoglycerate mutase 1,CHEMBL3334418
Tau-tubulin kinase 2,CHEMBL3337327
"Serine/threonine-protein kinase PINK1, mitochondrial",CHEMBL3337330
Melatonin-related receptor,CHEMBL3341577
Prostaglandin E synthase 3,CHEMBL3341580
Cytochrome P450 3A7,CHEMBL3341582
Proteasome subunit beta type-7,CHEMBL3347256
"Threonine--tRNA ligase, mitochondrial",CHEMBL3351186
Sodium-dependent neutral amino acid transporter B(0)AT2,CHEMBL3351189
Hepatocyte growth factor activator,CHEMBL3351190
Bromodomain and WD repeat-containing protein 1,CHEMBL3351192
Coagulation factor XIII B chain,CHEMBL3351193
Alkaline ceramidase 1,CHEMBL3351194
Tyrosine-protein phosphatase non-receptor type 18,CHEMBL3351197
Protein phosphatase Slingshot homolog 2,CHEMBL3351198
Protein phosphatase 1G,CHEMBL3351199
Kinesin-like protein KIFC1,CHEMBL3351200
Uncharacterized protein CSNK1G2-AS1,CHEMBL3351201
RNA-binding protein EWS,CHEMBL3351202
Voltage-dependent L-type calcium channel subunit beta-3,CHEMBL3351206
DNA damage-inducible transcript 3 protein,CHEMBL3351207
LanC-like protein 2,CHEMBL3351212
Eukaryotic translation initiation factor 4E-binding protein 1,CHEMBL3351214
40S ribosomal protein S6,CHEMBL3351215
2'-deoxynucleoside 5'-phosphate N-hydrolase 1,CHEMBL3351218
Deoxyribonuclease-1,CHEMBL3351219
B-lymphocyte antigen CD19,CHEMBL3390821
Interleukin 17A,CHEMBL3390822
Mitochondrial glycerol-3-phosphate dehydrogenase,CHEMBL3391681
Adiponectin receptor protein 1,CHEMBL3392946
Adiponectin receptor protein 2,CHEMBL3392947
Solute carrier family 40 member 1,CHEMBL3392948
Angiomotin,CHEMBL3392949
Histone chaperone ASF1A,CHEMBL3392950
DNA-3-methyladenine glycosylase,CHEMBL3396943
